Инструкция;РЗА;Объект;Дата ввода в действие;Дата пересмотра;ЦДС;ОДС;ПС 330;ВГЭС;ВГРЭС;ВСРЭС;БРЭС;ШРЭС;РРЭС;ЛРЭС;ГРЭС
Инструкция по эксплуатации устройств РЗАИ ВВ-10кВ отходящих линий, аппаратуры ТН-10кВ (с АЧР), СВВ-10кВ, ЗДЗ, УРОВ 1-2с 10кВ, ЛЗШ 1-2с 10кВ;СВВ-10 кВ, ТН-10 кВ 1 и 2 с-10 кВ, отходящей линии 10 кВ, АЧР, ЗДЗ, УРОВ 1-2с 10кВ, ЛЗШ 1-2с 10кВ;110кВ Биофабрика;12.10.2016;05.10.2024;0;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации центральной сигнализации (ЦС) и оперативной блокировки разъединителей (ОБР);ЦС, ОБР;110кВ Биофабрика;12.10.2016;05.10.2024;0;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ щита собственных нужд;ЩСН;110кВ Биофабрика;12.10.2016;05.10.2024;0;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ трансформаторов Т-1 и Т-2;Т-1 и Т-2;110кВ Биофабрика;12.10.2016;05.10.2024;0;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации АРН Т-1, Т-2;АРН Т-1, Т-2;110кВ Биофабрика;12.10.2016;12.10.2024;0;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ щита постоянного тока;ЩПТ;110кВ Биофабрика;12.10.2016;12.10.2024;0;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации и схема;Электромагнитной блокировки;110кВ Верховье;05.01.2017;22.03.2025;0;0;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройств ЦС;Центральной сигнализации;110кВ Верховье;31.08.2021;31.08.2025;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройств РЗАИ Т-1 и Т-2;Т-1, Т-2, АРН Т-1 Т-2;110кВ Верховье;09.09.2021;09.09.2025;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройств РЗАИ отходящих линий 10кВ;Отходящей линии 10 кВ;110кВ Верховье;09.09.2021;09.09.2025;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации РЗ ВЛ-110кВ на Витебск и Городок, автоматики, управления и сигнализации СВЭ-110кВ;СВЭ-110 кВ, ВЛ-110кВ на Городок, 330-Витебскую;110кВ Верховье;10.11.2021;10.11.2025;1;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройств РЗАИ постоянного оперативного тока;ЩПТ,СВУ,постоянного опертока;110кВ Верховье;27.12.2017;29.11.2025;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройств определения места повреждения в сети 110кВ;ФИП ПУМА 1100;110кВ Верховье;09.07.2019;09.07.2023;1;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройств РЗАИ СВВ-10кВ, АВР-10кВ, аппаратуры ТН-10кВ (с АЧР), ЗДЗ, СН-0,4кВ;СВВ-10кВ, АВР, ЗДЗ, ТН-10 кВ, АЧР, ЩСН;110кВ Верховье;15.01.2021;15.01.2025;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации оперативной блокировки разъединителей;ОБР;110кВ Верховье;09.02.2021;09.02.2025;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации ТН-110кВ;ТН-110 кВ 1 и 2 с-110 кВ;110кВ Верховье;09.02.2021;09.02.2025;1;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройств релейной защиты, автоматики, управления и сигнализации ВВ-10кВ КЛ-10кВ и ТН-10кВ;ВВ-10кВ,ТН-10кВ;110кВ Витебск-Северная;04.11.2021;04.11.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ СВВ-10кВ;СВВ-10 кВ № 1, 2, 3, 4, АВР-10 кВ;110кВ Витебск-Северная;04.11.2021;04.11.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации электромагнитной блокировки;Электромагнитной блокировки;110кВ Витебск-Северная;02.05.2019;02.05.2023;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации системы автоматической компенсации емкостных токов замыкания на землю в электрических сетях 10кВ;ДГК, САНК, защиты резистора заземления нейтрали;110кВ Витебск-Северная;19.02.2016;12.02.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации щитов постоянного и переменного тока и выпрямительных устройств;ЩСН, ЩПТ, ВУ-1, 2;110кВ Витебск-Северная;24.03.2020;24.03.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации логической защиты шин 10 кВ и устройства резервирования отказа выключателей 1-4с. 10кВ;ДЗШ 1, 2, 3, 4 с-10 кВ;110кВ Витебск-Северная;23.10.2020;23.10.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ трансформатора Т1;Т1, автоматика обдува и АРН Т1;110кВ Витебск-Северная;09.11.2020;09.11.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ трансформатора Т2;Т2, автоматика обдува и АРН Т2;110кВ Витебск-Северная;09.11.2020;09.11.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ;Т1,ВЛ 10 кВ,ТСН,ТН, АРН Т1, АЧР, ЦС, ФИП;110кВ Городок;15.11.2019;15.11.2023;0;1;0;0;0;0;0;0;0;1;0
Инструкция по эксплуатации системы оперативного постоянного тока ;ЩПТ,ВУ-1,ВУ-2;110кВ Лучеса;16.03.2022;16.03.2026;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ СОВЭ-110кВ;СОВЭ-110 кВ;110кВ Городок;10.04.2018;15.03.2026;1;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации дифференциальной защиты шин 110кВ;ДЗШ-110 кВ 1 и 2 с-110 кВ;110кВ Городок;10.04.2018;15.03.2026;1;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации УРОВ-110кВ;УРОВ-110 кВ 1 и 2 с-110 кВ;110кВ Городок;10.04.2018;15.03.2026;1;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации ТН-110кВ;ТН-110 кВ 1 и 2 с-110 кВ, ОСШ;110кВ Городок;10.04.2018;15.03.2026;1;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации РЗА отходящей линии 10кВ ячейки типа К104-М с выключателями BU/TEL 12A;Отходящей линии 10 кВ;110кВ Городок;07.09.2018;07.09.2022;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации устройств РЗАИ трансформатора Т1;Т1;110кВ Городок;19.09.2018;19.09.2022;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации системы постоянного оперативного тока;ЩПТ, ВАЗП №1,2, распределение постоянного опертока;110кВ Городок;02.01.2019;02.01.2023;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации устройств РЗАИ СВВ-35кВ;СВВ-35 кВ;110кВ Городок;23.02.2015;27.02.2023;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации устройств РЗАИ трансформатора Т2;Т2;110кВ Городок;11.03.2015;27.02.2023;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации устройств РЗАИ СВВ-10кВ;СВВ-10 кВ № 1, 2, 3, 4;110кВ Городок;27.02.2019;27.02.2023;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации защиты от дуговых замыканий, логической защиты шин 10кВ и устройства резервирования отказа выключателей 1-4с 10кВ;ЗДЗ,ЛЗШ,УРОВ  1, 2, 3, 4 с-10 кВ;110кВ Городок;11.03.2015;27.02.2023;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации и схема РЗА;ЩСН;110кВ Городок;12.04.2023;12.04.2023;0;0;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации электромагнитной блокировки разъединителей;Электромагнитная блокировка;110кВ Городок;11.05.2015;19.04.2023;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации устройств регулирования напряжения трансформаторов Т1 и Т2;АРН Т1,Т2;110кВ Городок;14.10.2015;24.09.2023;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации устройств определения места повреждения на ВЛ 10-35кВ;ФИП ВЛ 10-35 кВ;110кВ Городок;09.10.2019;09.10.2023;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации устройств определения места повреждения в сети 110кВ;ИПФ ПУМА 1100;110кВ Городок;22.06.2020;22.06.2024;1;1;0;0;0;0;0;0;0;0;1
"Инструкция по работе с цифровым регистратором электрических процессов ""ПАРМА"" и универсальной программой просмотра, анализа и печати данных TRANSCOP для определения мест повреждения на ВЛ-110кВ";Аварийный регистратор;110кВ Городок;16.02.2021;16.02.2025;1;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации устройств РЗАИ ВЛ-35кВ с ВВ-35кВ;ВЛ-35 кВ на Бычиху,Селище;110кВ Городок;16.02.2021;16.02.2025;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации устройств РЗАИ ВЛ-35кВ на Чепино;ВЛ-35 кВ на Чепино;110кВ Городок;16.02.2021;16.02.2025;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации центральной сигнализации;Центральная сигнализация ОПУ,ОПУ-1;110кВ Городок;16.02.2021;16.02.2025;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации ТН-10, 35кВ;ТН-10 кВ 1, 2, 3, 4 с-10 кВ, ТН-35кВ 1 и 2с;110кВ Городок;10.06.2021;10.06.2025;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации индикатора ИМФ ВЛ-35кВ Добромысли-Бабиновичи;ИМФ;110кВ Добромысли;04.01.2022;04.01.2026;0;1;0;0;0;0;0;0;0;1;0
Инструкция по эксплуатации устройств РЗАИ;РЗА Т1, Т2, АЧР, ЗДЗ, ЭМБ, СМВ-10кВ, ТН-10-35кВ, РПН Т1 и Т2, ВЛ-10-35кВ, СН, ЦС, ФИП, АВР;110кВ Добромысли;02.03.2021;02.03.2025;0;1;0;0;0;0;0;0;0;1;0
Инструкция по эксплуатации устройств РЗАИ;Т1,Т2,АВР Т2,ВЛ-35 кВ на Бычиху,ВЛ-35 кВ на Хмельник,ТН-35 кВ 1 с-35 кВ,ТН-35 кВ ВЛ-35 кВ на Бычиху,СВВ-10 кВ,ВЛ10,ТН10,АЧР,СН,ЦС,обдувТ1,АРН Т1,ФИП;110кВ Дуброво;28.12.2017;02.12.2025;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации устройства РЗАИ;Т1, АРН, ВЛ-10кВ, ТН-10кВ, ЗДЗ, АЧР, СН, ЦС.;110кВ Замосточье;10.10.2019;10.10.2023;0;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации автоматической частотной разгрузки;АЧР;110кВ Кабище;24.12.2014;02.01.2023;1;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации устройств релейной защиты, автоматики и сигнализации;Т1,Т2,ВЛ10,ТН10,АВР-10,ЦС,ШОП,СН;110кВ Кабище;23.02.2015;27.02.2023;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации устройств релейной защиты, автоматики, управления и сигнализации СВЭ-110кВ и аппаратуры ТН-110кВ;СВЭ-110 кВ, ТН-110 кВ 1 и 2 с-110 кВ;110кВ Кабище;30.08.2019;30.08.2023;1;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации устройств РЗАИ СВВ-10кВ;СВВ-10 кВ;110кВ Кабище;21.11.2019;21.11.2023;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации устройства АРН Т-1, Т-2;АРН Т1,Т2;110кВ Кабище;08.04.2021;08.04.2025;0;1;0;0;0;0;0;0;0;0;1
Инструкция по эксплуатации устройств РЗАИ;Т2,РПН Т2,СМВ-10,ВЛ-10,ТН-10,АЧР,ЗДЗ,СН,ШОП,ЦС,ЭМБ,ФИП;110кВ Княжица;10.11.2021;10.11.2025;0;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ постоянного оперативного тока;ШУОТ №1, 2;110кВ КСМ;18.04.2022;18.04.2026;0;1;0;0;0;0;0;0;0;0;0
