Инструкция;РЗА;Объект;Дата ввода в действие;Дата пересмотра;ЦДС;ОДС;ПС 330;ВГЭС;ВГРЭС;ВСРЭС;БРЭС;ШРЭС;РРЭС;ЛРЭС;ГРЭС
Инструкция по эксплуатации устройст РЗА СМВ-10кВ 1 и 2с -10кВ, 3 и 4 с-10кВ, 5и6 с-10 кВ;СМВ-10 кВ 1, 2, 3, 4, 5, 6 с-10 кВ;110кВ Мелькомбинат;04.11.2016;03.11.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств ЩСН;ЩСН;110кВ Мелькомбинат;17.11.2020;17.11.2024;0;1;0;0;0;0;0;0;0;0;0
"Инструкция по компенсации емкостных токов замыкания на ""землю"" в сети 10кВ";ДГК,;110кВ Мелькомбинат;19.11.2020;19.11.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации усройств защиты от дуговых замыканий;ЗДЗ 1, 2, 3, 4 с-10 кВ;110кВ Мелькомбинат;19.01.2021;19.01.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств регулирования напряжения трансформаторов Т-1 и Т-2;АРН Т1, АРН Т2;110кВ Мелькомбинат;19.02.2021;19.02.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации комплекта автоматического и дистанционного управления дугогасящим реактором;Автоматика ДГК;110кВ Новая;06.12.2021;06.12.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации системы оперативного постоянного тока ;ЩПТ;110кВ Новая;15.11.2021;15.11.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации электромагнитной блокировки разъединителей;Электромагнитная блокировка;110кВ Новая;26.12.2018;26.12.2022;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств автоматической частотной разгрузки (АЧР с ЧАПВ) и дополнительной аварийной разгрузки по напряжению (ДАРН с АПВ ДАРН);АЧР, ДАРН;110кВ Новая;14.01.2019;14.01.2023;1;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств АРН трансформаторов;АРН Т1, Т2;110кВ Новая;18.02.2019;18.02.2023;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ трансформаторов Т1, Т2;Т1, Т2;110кВ Новая;04.02.2020;04.02.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ СВВ-10 кВ, ВВ(МВ)-10кВ КЛ-10кВ, ТН-10кВ;ВВ-10 кВ, отходящей линии 10 Кв, ТН-10 Кв;110кВ Новая;19.02.2016;14.02.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации центральной сигнализации;Центральной сигнализации;110кВ Новая;24.02.2022;24.02.2026;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации АВР СН;АВР ЩСН;110кВ Новая;02.11.2016;09.10.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗА ЗДЗ-10кВ ВВ-10кВ КЛ-428,429,430,431,ТСН ДГК-10кВ 1с,432,433;ЗДЗ;110кВ Новая;07.05.2021;07.05.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗА ЗДЗ-10кВ ВВ-10кВ КЛ-454,455,456,457,458,459,ТСН ДГК-10кВ 3с ;ЗДЗ-10кВ;110кВ Новая;02.08.2021;02.08.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств автоматической частотной разгрузки (АЧР с ЧАПВ) и делительной автоматики МВ-10кВ КЛ-399,405;АЧР (с ЧАПВ), ДА;110кВ Оболь;09.06.2021;09.06.2025;1;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств релейной защиты, автоматики, управления и сигнализации трансформаторов Т1 и Т2;Т1,Т2;110кВ Оболь;10.11.2021;10.11.2025;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств РЗАИ щита постоянного тока и выпрямительных устройств;ЩПТ, СВУ №1, 2;110кВ Оболь;15.02.2022;15.02.2026;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств РЗАИ щита переменного тока;ЩСН;110кВ Оболь;14.05.2019;14.05.2023;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации электромагнитной блокировки разъединителей;Электромагнитная блокировка;110кВ Оболь;06.06.2019;06.06.2023;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств РЗАИ СМВ-10кВ, АВР-10кВ, МВ-10кВ;СМВ-10кВ, ВЛ-10кВ, АВР-10кВ;110кВ Оболь;19.02.2016;04.02.2024;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации транслятора параметров фиксирующего (ТПФ) ПУМА-2300;ФИП-10 кВ Т1,2 ПУМА 2300;110кВ Оболь;23.03.2020;23.03.2024;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств регулирования напряжения трансформаторов Т1 и Т2;АРН Т1, Т2;110кВ Оболь;17.04.2020;17.04.2024;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств релейной защиты, автоматики, управления и сигнализации СВЭ-110кВ и аппаратуры ТН-110кВ;СВЭ-110 кВ, ТН-110 кВ 1 и 2 с-110 кВ;110кВ Оболь;26.10.2016;27.10.2024;1;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации центральной сигнализации;Центральной сигнализации, ТН-10 кВ 1 и 2 с-10 кВ;110кВ Оболь;27.10.2020;27.10.2024;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств регулирования напряжения трансформаторов Т1 и Т2;АРН Т1,Т2;110кВ Парковая;23.07.2021;23.07.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации автоматики, управления и сигнализации СВЭ-110кВ и аппаратуры ТН-110кВ;СВЭ-110 кВ, ТН-110кВ;110кВ Парковая;04.11.2021;04.11.2025;1;1;0;0;0;0;0;0;0;0;0
"Инструкция по компенсации емкостных токов замыкания на ""землю"" в сети 6-10кВ";ДГК-1, 2с 6кВ;110кВ Парковая;31.05.2018;27.05.2026;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ СМВ-6кВ, СВВ-10кВ №1,2, КЛ-6кВ, КЛ-10кВ, ТН-6кВ 1 и 2с 6кВ, ТН-10кВ 1,2,3с-10кВ;СМВ-6 кВ, СВВ-10кВ №1,2 Отходящих линий ТН-6кВ, ТН-10кВ;110кВ Парковая;01.09.2021;01.09.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации защиты от дуговых замыканий;ЗДЗ 1 с-10 кВ;110кВ Парковая;29.10.2019;29.10.2023;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации центральной сигнализации;Центральной сигнализации ОПУ, ЗРУ-6 кВ;110кВ Парковая;10.03.2020;10.03.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации щита постоянного тока и выпрямительных устройств;ЩПТ, ВАЗП  № 1, 2;110кВ Парковая;23.03.2020;23.03.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств автоматической частотной разгрузки (АЧР с ЧАПВ) и дополнительной аварийной разгрузки по напряжению (ДАРН с АПВ ДАРН);АЧР, ДАРН;110кВ Парковая;10.06.2020;10.06.2024;1;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ трансформатора Т1, Т2;Т1, Т-2;110кВ Парковая;04.11.2020;04.11.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации РЗАИ ЩСН  и АВР собственных нужд;АВР ЩСН;110кВ Парковая;23.03.2017;09.12.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации электромагнитной блокировки разъеденителей;Электромагнитной блокировки;110кВ Парковая;04.03.2021;04.03.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ;Т1, Т2, Отходящей линии 10 кВ, ТН-10кВ, ТСН, ЦС, ЗДЗ 1 и 2 с-10 кВ, АЧР, АВР, ЭМБ;110кВ Плиговка;13.12.2019;13.12.2023;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств РЗАИ;Т1,ВЛ-10,ТН-10,ЦС,СН, АЧР;110кВ Плисса;12.05.2016;22.04.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации системы постоянного оперативного тока;Постоянного опертока, ШУОТ-1, 2;110кВ Руба;16.06.2014;02.06.2025;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройств релейной защиты, автоматики, управления и сигнализации ВВ-6кВ КЛ-330;Релейная защита, ТН-6кВ, управление ВВ-6кВ, учет, опер.ток, сигнализация КЛ-330;110кВ Руба;19.02.2016;26.08.2024;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройства автоматической частотной разгрузки (АЧР с ЧАПВ) и дополнительной аварийной разгрузки по напряжению (ДАРН с АПВ ДАРН);ДАРН, АЧР;110кВ Руба;23.07.2021;23.07.2025;1;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройств РЗА трансформатора Т-1;Т1, автоматика обдува Т1;110кВ Руба;12.12.2017;02.12.2025;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации транслятора параметров фиксирующего (ТПФ) ПУМА-2300 ВЛ-35кВ Руба-Сураж;ФИП-35 кВ ВЛ-35кВ на Сураж;110кВ Руба;09.07.2019;09.07.2023;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройства регулирования напряжения трансформатора Т3;АРН Т3;110кВ Руба;14.10.2015;24.08.2023;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройств РЗАИ СМВ-6кВ;СМВ-6 кВ 1 и 2 с-6 кВ, СМВ-6 кВ 3 и 4 с-6 кВ, СМВ-6 кВ 3 и 5 с-6 кВ;110кВ Руба;05.09.2019;05.09.2023;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройств РЗАИ трансформатора №2;Т2, автоматика обдува Т2;110кВ Руба;23.10.2015;09.10.2023;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройств регулирования напряжения трансформатора Т2;АРН Т2;110кВ Руба;14.10.2015;09.10.2023;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройств РЗА и сигнализации ВВ-6кВ КЛ-326;ВВ-6кВ;110кВ Руба;26.11.2019;26.11.2023;0;0;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройств регулирования напряжения трансформатора Т1;АРН Т1;110кВ Руба;19.02.2016;20.02.2024;0;1;0;0;0;0;0;0;1;0;0
"Инструкция по компенсации емкостных токов замыкания на ""землю"" в сети 6кВ";ТСН ДГК;110кВ Руба;21.02.2020;21.02.2024;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации выпрямительных зарядно-подзарядных агрегатов;ВАЗП;110кВ Руба;23.03.2020;23.03.2024;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации центральной сигнализации;Центральной сигнализации на постоянном и переменном опертоке;110кВ Руба;30.03.2020;30.03.2024;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации РЗА управления и сигнализации ВЛ-35кВ, ТН-35кВ;ВЛ-35 кВ на Курино, Сураж, ТН-35кВ;110кВ Руба;10.08.2016;21.07.2024;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройств РЗА щита собственных нужд;ЩСН;110кВ Руба;17.08.2016;04.08.2024;0;0;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗА  и сигализации КЛ-6кВ, аппаратуры ТН-6кВ;Отходящей линии 6 кВ, ТН-6кВ, БПРУ-1, 2;110кВ Руба;26.08.2020;26.08.2024;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации устройств РЗА и сигнализации трансформатора №3;Т3, автоматика обдува Т3;110кВ Руба;02.11.2016;02.11.2024;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации РЗА трансформатора Т4 и КРУН-10кВ;Т4, ТН-10 кВ 1 с-10 кВ, РПН Т4, Отходящей линии 10 кВ, ЗДЗ 1 с-10 кВ;110кВ Руба;30.03.2021;30.03.2025;0;1;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации РЗАИ СМВ-10кВ;СМВ-10 кВ, АВР-10 кВ;110кВ Сватовка;19.06.2019;19.06.2023;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации центральной сигнализации;Центральная сигнализация ОПУ, КРУН;110кВ Сватовка;19.06.2019;19.06.2023;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации электромагнитной блокировки;Электромагнитной блокировки;110кВ Сватовка;19.06.2019;19.06.2023;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств оперативного тока;Выпрямленного опертока,БПНС-1, 2,БПТ-1, 2,БПН-1, 2, переменный оперток КРУН;110кВ Сватовка;19.06.2019;19.06.2023;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств определения места повреждения в сети 110кВ;ЛИФП-А СМВ-110 кВ,ЛИФП-В ТН-110 кВ 1 и 2с-110 кВ;110кВ Сватовка;09.07.2019;09.07.2023;1;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств РЗА отходящих линий 10кВ, ТН-10кВ 1, 2с, ЗДЗ1, 2с 10кВ;ВЛ-10 кВ,ТН-10кВ,ЗДЗ;110кВ Сватовка;24.10.2019;24.10.2023;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ трансформаторов Т-1, Т-2;Т1,Т2, АРН Т-1(2), автоматики обдува Т1, Т-2;110кВ Сватовка;22.06.2020;22.06.2024;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации вторичных цепей ТН-110кВ;ТН-110 кВ 1 и 2 с-110 кВ;110кВ Сватовка;08.11.2016;09.11.2024;1;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации АЧР с АПВЧ;АЧР с ЧАПВ;110кВ Сватовка;27.11.2020;27.11.2024;1;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ;Т1, АРН, ТН-10кВ, отходящая линия, ЗДЗ, ЦС, АЧР, СН;110кВ Слобода;19.02.2016;19.02.2024;0;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации центральной сигнализации ОПУ;Центральной сигнализации ОПУ;110кВ Соржица;14.02.2018;14.02.2026;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств релейной защиты, автоматики, управления и сигнализации СМВ-110кВ;СМВ-110 кВ, ВЛ-110 кВ на Бешенковичи, ВЛ-110 кВ на Витебскую ТЭЦ;110кВ Соржица;10.04.2018;15.03.2026;1;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации электромагнитной блокировки;Электромагнитной блокировки;110кВ Соржица;19.06.2019;19.06.2023;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ Т-ра Т-1, отходящих линий 10кВ, ТН-10кВ, ЗДЗ-10кВ;ЗДЗ-10кВ, ТН-10кВ;110кВ Соржица;20.09.2019;20.09.2023;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации вторичных цепей ТН-110кВ;ТН-110 кВ 1 и 2 с-110 кВ;110кВ Соржица;03.03.2016;18.02.2024;1;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройства автоматического регулирования напряжения Т-1;АРН Т1;110кВ Соржица;04.11.2016;03.11.2024;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации АЧР с ЧАПВ;АЧР;110кВ Соржица;17.11.2020;17.11.2024;1;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств оперативного тока на ПС 110/10кВ;;110кВ Соржица;27.11.2020;27.11.2024;0;0;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации источников оперативного тока ОПУ;Выпрямленного опертока,БПН-1, 2,БПНС-1, 2,БПТ-1, 2,Переменного опертока;110кВ Соржица;27.11.2020;27.11.2024;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств автоматики, управления и сигнализации СМВ-110кВ и аппаратуры            ТН-110кВ;СМВ-110кВ, ТН-110кВ, Опер. Ток, Сигнализация;110кВ Старое Село;08.12.2017;02.12.2025;1;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ трансформатора Т-1;Т1, НЗТ Т-1;110кВ Старое село;10.11.2021;10.11.2025;0;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ СВВ-10кВ;СВВ-10 кВ, АВР-10 кВ;110кВ Старое село;29.07.2019;29.07.2023;0;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ трансформатора Т-2;Т2, НЗТ Т-2;110кВ Старое село;23.10.2015;16.10.2023;0;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации РЗАИ фидеров 10кВ, ТН-10кВ, ЦС, АЧР;Отходящей линии 10 кВ,  ТН-10кВ, ЦС, АЧР;110кВ Старое село;22.11.2019;22.11.2023;0;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации РЗАИ щита собственных нужд;ЩСН, ТН-110кВ 1 и 2с, оперток;110кВ Старое село;10.12.2019;10.12.2023;0;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации устройства АРН Т1,Т2;АРН Т1,Т2;110кВ Старое село;16.10.2020;16.10.2024;0;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ щита собственных нужд;ЩСН;110кВ Суражская;15.11.2021;15.11.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ ВВ-10кВ отходящих линий, РЗН-10кВ, аппаратуры ТН-10кВ(с АЧР), ЗДЗ, опер. Блокировки;ВВ-10кВ отходящих линий, РЗН-10кВ, аппаратура ТН-10кВ (с АЧР), ЗДЗ, опер. Блокировка;110кВ Суражская;15.11.2021;15.11.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ Т-1 и Т-2;Т1 и Т2;110кВ Суражская;15.11.2021;15.11.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ щита постоянного тока;ЩПТ;110кВ Суражская;27.12.2017;30.11.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации ДЗШ-10кВ 1,2,3,4с;ДЗШ-10кВ;110кВ Суражская;14.02.2018;04.02.2026;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации АРН Т-1, Т-2;АРН Т-1, Т-2;110кВ Суражская;03.02.2015;27.05.2026;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств электромагнитной блокировки;Электромагнитная блокировка;110кВ Суражская;16.02.2021;16.02.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств релейной защиты, автоматики, управленияи сигнализации ЩСН;ЩСН;110кВ Технологическая;10.11.2021;10.11.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств автоматической частотной разгрузки  (АЧР с АПВЧ) и дополнительной аварийной разгрузки по напряжению (ДАРН с АПВ ДАРН);АЧР, ДАРН;110кВ Технологическая;23.05.2019;23.05.2023;1;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ трансформаторов Т-1, Т-2;Т-1, Т-2;110кВ Технологическая;21.06.2016;28.05.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ ВЛ-35кВ, ТН-35кВ;ВЛ-35 кВ на Аэропорт, ВЛ-35 кВ на Осётки, ТН-35 кВ 1 и 2 с-35 кВ;110кВ Технологическая;11.06.2020;11.06.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройства АВР;АВР-10 кВ, АВР Т1;110кВ Технологическая;26.08.2020;26.08.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации  устройств центральной сигналиации,релейной защиты, автоматики, у правления и сигнализации СМВ-10,35кВ, МВ(ВВ) - 10кВ 1-4с КЛ-10кВ, ТН-10,35кВ, блока питания БПРУ на ПС 110/35/10кВ;ЦС,СМВ-10,35кВ, ВВ(МВ)-10кВ, ТН-10,35кВ, БПРУ;110кВ Технологическая;01.11.2016;27.10.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ трансформатора Т-3;Т-3;110кВ Технологическая;01.11.2016;27.10.2024;0;1;0;0;0;0;0;0;0;0;0
"Инструкция по эксплуатации системы автоматичнской компенсации емкостных токов на замыкание на ""землю"" в электрических сетях 10кВ";ДГК, БАНК;110кВ Технологическая;25.02.2021;25.02.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации системы оперативного постоянного тока;ВУ, ЩПТ;110кВ Технологическая;26.02.2021;26.02.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ 5 и 6с 10кВ;КЛ-10кВ 5 и 6с, СВВ-10кВ №5 и 6, ввода 5 и 6с, КЛ-522, 527, ТН-10кВ, ЗДЗ, ЭМБ, оперток 5 и 6с;110кВ Технологическая;04.03.2021;04.03.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ;Т1,Т2,АРН Т1,ВЛ-35 кВ на Шумилино и Красное,ТН-35 кВ 1 с-35 кВ,ТН-35 кВ ВЛ-35 кВ на Шумилино,СВВ-10 кВ,ВЛ-10кВ,ТН-10кВ,ЗДЗ,АЧР,СНЦС;110кВ Улла;17.02.2020;17.02.2024;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств регулирования напряжения Т-1;АРН Т-1;110кВ Улла;28.09.2016;28.09.2024;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств определения места повреждения в сети 10кВ;ТПФ ПУМА 2300;110кВ Улла;26.04.2021;26.04.2025;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств регулирования напряжения Т-1, Т-2;РПН Т-1, Т-2;110кВ Хайсы;06.05.2016;17.04.2024;0;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ;Т-1, Т-2, СВВ-10кВ, отх.линия 10кВ, ТН-10кВ, АЧР,ТСН, оперток, ЦС, ФИП;110кВ Хайсы;22.06.2020;22.06.2024;0;1;0;0;0;1;0;0;0;0;0
Инструкция по эксплуатации системы оперативного постоянного тока;ЩПТ, постоянного опертока, ВАЗП-1, 2;110кВ Чепино;02.04.2018;15.03.2026;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации  Устройств РЗАИ ТН-35кВ, ВЛ-35кВ на Городок;ТН-35 кВ ВЛ-35 кВ на Городок;110кВ Чепино;31.05.2018;17.05.2026;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ СВВ-10кВ 1-2с-10кВ;СВВ-10 кВ № 1, 2;110кВ Чепино;31.05.2018;17.05.2026;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ СВВ-10кВ 3 и 4с 10кВ;СВВ-10 кВ № 3, 4;110кВ Чепино;03.10.2018;03.10.2022;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ линий 10кВ с ВВ-10кВ 3 и 4с 10кВ;ВЛ-10кВ 3 и 4с;110кВ Чепино;03.10.2018;03.10.2022;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации аппаратуры ТН-10кВ 3 и 4с-10кВ, дуговой защиты, АЧР и электромагнитной блокировки 3 и 4с-10кВ;ТН-10 кВ, ЗДЗ, АЧР и ЭМБ 3, 4 с;110кВ Чепино;03.10.2018;03.10.2022;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ трансформатора Т1;Т1, ВЛ-35 кВ на Городок;110кВ Чепино;15.07.2015;26.06.2023;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ трансформатора Т2;Т2;110кВ Чепино;15.07.2015;26.06.2023;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации защиты от дуговых замыканий, логической защиты шин и устройства резервирования отказа выключателя 3 и 4с 10кВ;ЗДЗ,ЛЗШ,УРОВ 3, 4 с-10 кВ;110кВ Чепино;26.06.2019;26.06.2023;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации центральной сигнализации;Центральной сигнализации;110кВ Чепино;08.08.2019;08.08.2023;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройства регулирования напряжения трансформатора Т1 Т2 10мВА;АРН Т1,Т2;110кВ Чепино;10.10.2019;10.10.2023;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации электромагнитной блокировки разъединителей;Электромагнитной блокировки;110кВ Чепино;04.11.2020;04.11.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации индикатора ИМФ ВЛ-35кВ Чепино-Городок;ИМФ ВЛ-35 кВ на Городок;110кВ Чепино;09.11.2020;09.11.2024;0;1;0;0;0;0;0;0;0;0;0
"Инструкция по работе на ПЭВМ ПТК ""Сириус"" при отыскании однофазного замыкания на землю при помощи УЗГ";УЗГ-УЗГК;110кВ Чепино;11.01.2021;11.01.2025;0;1;0;0;1;0;0;0;0;0;0
Инструкция по эксплуатации РЗАИ линий 10кВ, защиты от дуговых замыканий, ТН-10кВ 1 и 2с 10кВ, АЧР 1-4с 10кВ;ВЛ-10, ЗДЗ,ТН,АЧР 1-4с;110кВ Чепино;03.02.2021;03.02.2025;1;1;0;0;0;0;0;0;0;0;0
"Инструкция по компенсации емкостных токов замыкания на ""землю"" в сети 10 кВ";ДГК;110кВ Чепино;19.02.2021;19.02.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации РЗАИ ЩСН;ЩСН;110кВ Чепино;02.03.2021;02.03.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации электромагнитной блокировки;Электромагнитной блокировки;110кВ Шумилино;04.11.2021;04.11.2025;0;1;0;0;0;0;0;1;0;0;0
"Инструкция по эксплуатации устройств релейной защиты, управления и сигнализации 
ВЭ-110кв ВЛ-110кв на Витебскую ТЭЦ";ВЛ-110 кВ на Витебскую ТЭЦ;110кВ Шумилино;04.11.2021;04.11.2025;0;1;0;0;0;0;0;1;0;0;0
"Инструкция по работе с цифровым регистратором электрических процессов ""ПАРМА"" и универсальной программой просмотра, анализа и печати данных TRANSKOP для определения мест повреждений на ВЛ-110кВ";Аварийного регистратора;110кВ Шумилино;10.11.2021;10.11.2025;1;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств РЗА, управления и сигнализации ВЛ-110кВ Шумилино-Мясокомбинат;ВЛ-110 кВ на Мясокомбинат;110кВ Шумилино;10.04.2018;15.03.2026;1;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств РЗА, управления и сигнализации ВЛ-110кВ Шумилино-Плиговка;ВЛ-110 кВ на Плиговку;110кВ Шумилино;22.10.2021;22.10.2025;1;1;0;0;0;0;0;1;0;0;0
Инструкция по эксплуатации устройств РЗАИ СВВ-35кВ, ВЛ-35кВ на Мишневичи, Бешенковичи, Ловжу и ТН-35кВ;СВВ-35 кВ, ВЛ-35 кВ на Ловжу и на Мишневичи, Бешенковичи, ТН-35кВ;110кВ Шумилино;07.08.2018;07.08.2022;0;1;0;0;0;0;0;1;0;0;0
